mode,stride_words,requested_bytes,elapsed_cycles,bytes_per_cycle,per_sm_bytes_per_cycle,sm_count,blocks,blocks_per_sm,threads,iters,warmup_iters,unroll,shared_words,occupancy_blocks_per_sm,repeat
read,1,2684354560,2540917,1056.451100,52.822555,20,20,1,256,8192,128,16,8192,6,0
read,1,2684354560,2540917,1056.451100,52.822555,20,20,1,256,8192,128,16,8192,6,1
read,1,2684354560,2540917,1056.451100,52.822555,20,20,1,256,8192,128,16,8192,6,2
read,2,2684354560,2613298,1027.190378,51.359519,20,20,1,256,8192,128,16,8192,6,0
read,2,2684354560,2613298,1027.190378,51.359519,20,20,1,256,8192,128,16,8192,6,1
read,2,2684354560,2613298,1027.190378,51.359519,20,20,1,256,8192,128,16,8192,6,2
read,4,2684354560,4194945,639.902206,31.995110,20,20,1,256,8192,128,16,8192,6,0
read,4,2684354560,4194945,639.902206,31.995110,20,20,1,256,8192,128,16,8192,6,1
read,4,2684354560,4194945,639.902206,31.995110,20,20,1,256,8192,128,16,8192,6,2
read,8,2684354560,8389402,319.969714,15.998486,20,20,1,256,8192,128,16,8192,6,0
read,8,2684354560,8389402,319.969714,15.998486,20,20,1,256,8192,128,16,8192,6,1
read,8,2684354560,8389402,319.969714,15.998486,20,20,1,256,8192,128,16,8192,6,2
read,16,2684354560,16778647,159.986354,7.999318,20,20,1,256,8192,128,16,8192,6,0
read,16,2684354560,16778647,159.986354,7.999318,20,20,1,256,8192,128,16,8192,6,1
read,16,2684354560,16778647,159.986354,7.999318,20,20,1,256,8192,128,16,8192,6,2
read,32,2684354560,33557079,79.993690,3.999684,20,20,1,256,8192,128,16,8192,6,0
read,32,2684354560,33557079,79.993690,3.999684,20,20,1,256,8192,128,16,8192,6,1
read,32,2684354560,33557079,79.993690,3.999684,20,20,1,256,8192,128,16,8192,6,2
write,1,2684354560,3268713,821.226752,41.061338,20,20,1,256,8192,128,16,8192,6,0
write,1,2684354560,3268713,821.226752,41.061338,20,20,1,256,8192,128,16,8192,6,1
write,1,2684354560,3268713,821.226752,41.061338,20,20,1,256,8192,128,16,8192,6,2
write,2,2684354560,3268713,821.226752,41.061338,20,20,1,256,8192,128,16,8192,6,0
write,2,2684354560,3267459,821.541926,41.077096,20,20,1,256,8192,128,16,8192,6,1
write,2,2684354560,3268713,821.226752,41.061338,20,20,1,256,8192,128,16,8192,6,2
write,4,2684354560,4194637,639.949192,31.997460,20,20,1,256,8192,128,16,8192,6,0
write,4,2684354560,4194637,639.949192,31.997460,20,20,1,256,8192,128,16,8192,6,1
write,4,2684354560,4194616,639.952396,31.997620,20,20,1,256,8192,128,16,8192,6,2
write,8,2684354560,8388750,319.994583,15.999729,20,20,1,256,8192,128,16,8192,6,0
write,8,2684354560,8388734,319.995194,15.999760,20,20,1,256,8192,128,16,8192,6,1
write,8,2684354560,8388734,319.995194,15.999760,20,20,1,256,8192,128,16,8192,6,2
write,16,2684354560,16777459,159.997683,7.999884,20,20,1,256,8192,128,16,8192,6,0
write,16,2684354560,16777459,159.997683,7.999884,20,20,1,256,8192,128,16,8192,6,1
write,16,2684354560,16777459,159.997683,7.999884,20,20,1,256,8192,128,16,8192,6,2
write,32,2684354560,33554958,79.998746,3.999937,20,20,1,256,8192,128,16,8192,6,0
write,32,2684354560,33554958,79.998746,3.999937,20,20,1,256,8192,128,16,8192,6,1
write,32,2684354560,33554960,79.998741,3.999937,20,20,1,256,8192,128,16,8192,6,2
